ProjectID,ProjectName,ClientName,Status,StartDate,DueDate,Budget,Category
PRJ001,Downtown Office Complex,Tech Corp,In Progress,2024-01-15,2024-12-31,2500000,Commercial
PRJ002,Residential Villa,Smith Family,Planning,2024-02-01,2024-09-30,850000,Residential
PRJ003,Public Library Renovation,City Council,In Progress,2023-11-01,2024-06-30,1200000,Public
PRJ004,Shopping Mall Extension,Retail Group,On Hold,2024-01-10,2025-03-31,3500000,Commercial
PRJ005,Community Center,Local Foundation,In Progress,2024-02-15,2024-11-15,950000,Public
PRJ006,Luxury Apartment Complex,Property Developers,Planning,2024-03-01,2025-06-30,4200000,Residential
PRJ007,Museum Addition,Arts Foundation,In Progress,2023-09-01,2024-08-31,1800000,Cultural
PRJ008,Corporate Headquarters,Finance Group,Completed,2023-03-15,2024-02-28,5500000,Commercial
PRJ009,Single Family Home,Johnson Family,In Progress,2024-01-20,2024-07-31,450000,Residential
PRJ010,School Building,School District,Planning,2024-04-01,2025-08-31,2800000,Educational
PRJ011,Restaurant Interior,Chef Partners,In Progress,2024-02-10,2024-05-31,280000,Commercial
PRJ012,Historic Building Restoration,Heritage Society,Planning,2024-03-15,2025-12-31,1500000,Cultural
PRJ013,Medical Office Complex,Healthcare Group,In Progress,2024-01-05,2024-10-31,1900000,Healthcare
PRJ014,Townhouse Development,Urban Developers,Planning,2024-02-20,2025-04-30,3200000,Residential
PRJ015,Convention Center,Tourism Board,On Hold,2024-01-25,2026-06-30,8500000,Public
